Title,country,Price,SuccessRate,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,rate
customer service office virtual assistant,Philippines,500,100,Customer Service,Chat Support,Graphic Design,Email Communication,Virtual Assistant,Phone Communication,2000
stack developer angular vu e node react lara ve ##l expert,United States,6500,80,SEO Backlinking,WordPress,Shopify,Ecommerce Platform Development,Laravel,Website Development,800
startup consultant analyst,Russia,4500,100,MySQL,PHP,AngularJS,Node.js,Project Management,Agile Software Development,9000000
project manager business coordinator,Ukraine,6000,92,Project Management,HTML Newsletter,PSD to HTML,PSD to Mailchimp,PSD to Wordpress,Email Marketing,60000
node j s rail j que ry backbone j s as p net php developer,Russia,3500,100,C,C++,Apache Subversion (SVN),Unit Testing,Continuous Integration,Project Management,3000000
php my s q l yi i 2 react types cr ##ip ##t angular 2 lara ve ##l,Russia,3500,100,PHP,JavaScript,CSS3,MySQL,TypeScript,AngularJS,10000
x ama ri ##n react native mobile app developer net core c mv c,India,1300,89,Xamarin,ASP.NET MVC,SQL,Android App Development,AngularJS,SQLite Programming,100000
word press shop if ##y end developer ps d word press expert,India,1100,97,Web Design,WordPress,PSD to Wordpress,Shopify,HTML5,CSS3,400000
lead net developer dev op engineer nile bit,Egypt,3000,100,DNN,nopCommerce,ASP.NET MVC,ASP.NET,C#,Microsoft SQL Server Programming,50000
web developer,Armenia,1500,59,HTML5,CSS3,PHP,JavaScript,Bootstrap,CodeIgniter,300000
say ee ##d mahmud,Bangladesh,3000,100,Reverse Engineering,REST,Spring Boot,Android,CSS,jQuery,100000
react java angular spring core java hi be ##r nate spring boot,India,2222,100,Java,AngularJS,D3.js,Google Web Toolkit (GWT),Node.js,Ionic,200000
stack developer graphic artist ui u x developer,United States,3000,100,WordPress,Graphic Design,Website,Shopify,Website Redesign,Website Development,1000
google ad word ce rt ##i f ##y se m pp c organic seo expert,India,1250,97,SEO,SEO Keyword Research,Search Engine Marketing,Internet Marketing,Google Ads,Google AdWords Development,200000
senior ui u x designer web mobile design brand identity ui u x,Ukraine,2500,98,2D Design,Web Design,Mobile UI Design,Logo Design,Responsive Web Design,Templates,1000000
ui u x designer,Ukraine,4500,100,Web Design,UX/UI,Figma,Adobe Photoshop,English,User Interface Design,1000000
expert ionic angular react native react j ##s node j ##s web rt c,Egypt,5000,100,Ionic Framework,AngularJS,Node.js,MongoDB,D3.js,React Native,90000
net developer c as p net,Ukraine,5000,98,JavaScript,Angular 6,REST,.NET Framework,C#,Azure,8000000
dev ops system administrator,Ukraine,2500,100,DevOps,CI/CD,Linux System Administration,VOIP Administration,AWS CodeDeploy,Azure,100000
software developer,Colombia,4500,100,Node.js,Vue.js,AWS Lambda,AWS Application,React,Angular,20000
react native x ama ri ##n ionic developer ios android,Russia,3000,100,Xamarin,C#,Mobile App Development,iOS Development,Android App Development,JavaScript,300000
end web developer dj ang ##o angular,Poland,5000,100,HTML5,CSS3,Less,AngularJS,jQuery,Python,2000000
c g artist 3d general ist,Bolivia,1400,100,3D Design,3D Modeling,3D Rendering,3D Animation,Autodesk 3ds Max,Animation,20000
expert html 5 cs s 3 boots tr ##a p java script react j ##s,India,1500,98,HTML5,CSS3,Twitter Bootstrap,JavaScript,jQuery,Responsive Web Design,1000000
senior net x ama ri ##n developer,Ukraine,3000,100,HTML5,CSS3,Sass,Less,jQuery,Xamarin,500000
front end developer html cs s java script php word press,Ukraine,2000,100,HTML5,CSS3,JavaScript,WordPress,Drupal,Laravel,1000
senior shop if ##y word press web flow expert,India,3500,99,PHP,Shopify,WordPress,Web Design,Ecommerce Platform Development,Shopify Plus,300000
senior php sy m f ##o ny lara ve ##l developer,Russia,3500,99,PHP,Zend Framework,MongoDB,SOAP,JSON,REST,5000000
php lara ve ##l sy m f ##o ny yi i 2 full st ##a ck web developer,Ukraine,2500,98,PHP,MySQL,Yii,Laravel,JavaScript,HTML5,2000000
3d artist visual i ##zer,Ukraine,2500,98,3D Modeling,3D Rendering,Architectural Rendering,Visualization,Texture Artist,Autodesk 3ds Max,4000
web mobile u x ui designer,Ukraine,3000,93,Adobe Photoshop,Adobe Illustrator,PSD to HTML,User Interface Design,Mobile UI Design,Wireframing,200000
stack developer,India,2000,89,WordPress,CodeIgniter,PHP,Laravel,Node.js,Angular 6,7000
zu ze x development,Russia,3000,97,Python,Data Science,JavaScript,AngularJS,React,Laravel,3000000
english spanish translator proof re ##a der,Spain,3400,100,Translation,Proofreading,Translation English Spanish,N/A,JavaScript,JavaScript,10000
senior back end developer php lara ve ##l yi i 2 zen d ruby python,Ukraine,3000,99,PHP,Zend Framework,REST,JavaScript,Laravel,API Development,1000000
creative designer illustrator,Argentina,1500,100,Adobe Photoshop,Adobe Illustrator,Adobe Premiere,Photography,Video Editing,Video Animation,100000
dynamic 365 architect implementation guru,United States,12500,100,Microsoft Dynamics CRM,SQL Server Integration Services (SSIS),Microsoft Dynamics Development,Microsoft Flow,Microsoft SQL SSRS,C#,100000
nl p computer vision expert machine learn engineer dl o cr,Ukraine,3200,100,Deep Learning,Python,Data Visualization,Natural Language Processing,Image Processing,Project Management Capability,100000
3d visual i ##zer architectural drawings modelling graf ic designer,Pakistan,2000,76,Autodesk 3D Studio Max,Animation,Adobe After Effects,Adobe Photoshop,SketchUp,Autodesk AutoCAD,10000
web developer php java script j que ry html,Ukraine,2500,93,PHP,Laravel,WordPress,MySQL,HTML,CSS,80000
mobile web ui u x designer,Ukraine,2500,100,User Interface Design,User Experience Design,Figma,Adobe Photoshop,Adobe Illustrator,Adobe XD,40000
book ebook layout expert dt p wizard ind es ign pro,Ukraine,3600,100,Layout Design,Print Design,Brochure Design,Format & Layout,Graphic Design,eBook Design,100000
hub sp ot ce rt ##i f ##y digital marketing expert ebook ghost writer blogger,Kenya,1100,100,Translation English Swahili,Technical Writing,Voice Over,Content Creation,eBook Writing,WordPress,100000
auto ca d 3d modeling architecture interior rev it,Serbia,2500,100,Autodesk AutoCAD,Autodesk 3ds Max,3D Modeling,Adobe Photoshop,Autodesk Revit,2D Design,20000
business consultant advanced financial modelling experience,Australia,10000,100,Artificial Intelligence,Machine Learning,Data Science,Business Intelligence,Technology Consulting,Business Consulting,2000
illustration print design branding logo design,Ukraine,2700,92,Presentation Design,Microsoft PowerPoint,Adobe Illustrator,Adobe Photoshop,Graphic Design,Poster Design,100000
hardware prototype r d lab mechanic electronic robotic,Ukraine,3700,100,Research,Hardware Prototyping,Business Analysis,N/A,JavaScript,JavaScript,300000
u s base senior word press web developer squares pace expert,United States,13000,100,Squarespace,WordPress,HTML5,CSS3,PHP,JavaScript,10000
website designer developer,Canada,1900,100,WordPress,Responsive Web Design,WordPress e-Commerce,Ecommerce Platform Development,Website Development,SEO,80000
web developer mobile developer,United States,1800,100,Android,JavaScript,Laravel,jQuery,Shopify,WordPress,200
graphic designer,Moldova,4500,100,Adobe Illustrator,Adobe Photoshop,Art Direction,Illustrations,JavaScript,JavaScript,20000
senior stack web mobile architect sr software engineer,United States,8000,100,Node.js,Express,jQuery,Angular 4,C,C++,1000
full st ##a ck web developer php sy m f ##o ny java script angular j ##s html 5,Russia,3500,100,PHP,JavaScript,AngularJS,Node.js,MongoDB,SaaS,100000
technical writer story tell er content market er,Romania,3000,100,Technical Writing,Content Marketing,Digital Marketing,White Paper Writing,Storytelling,Copywriting,100000
chief technical officer focus startup,Kyrgyzstan,6600,100,Python,JavaScript,Node.js,PHP,HTML,CSS,3000
u x ui designer,Ukraine,3500,98,JavaScript,Angular 6,React,React Native,Node.js,MongoDB,8000000
web developer,Ukraine,3000,90,Node.js,PHP,AngularJS,React,CodeIgniter,Zend Framework,200000
programming guru php j s ruby etc digital market er,United States,19700,100,PHP,Ruby,HTML5,CSS,MySQL Programming,Symfony,30000
w p expert ui u x expert eco mm ##er ce expert adobe ps,India,2000,100,WordPress,CSS3,HTML5,Bootstrap,Responsive Web Design,JavaScript,8000000
digital marketing eco mm ##er ce pro,Pakistan,5000,100,Web Design,Email Marketing,Virtual Assistant,Lead Generation,Customer Support,Shopify,3000
mobile app developer end end,India,1700,99,iOS Development,Objective-C,Swift,Android App Development,Mobile Programming,WebRTC,900000
professional mage nt ##o developer,Ukraine,3000,100,React,AngularJS,jQuery,UX Design,Volusion,Google Cloud Platform,2000000
high end 2d 3d designer,Ukraine,4500,100,Infographics,Banner Ad Design,Banner Ads,Graphic Design,3D Design,Print Design,30000
contest winner,Pakistan,2500,98,Adobe Illustrator,Adobe Photoshop,Microsoft Excel,English,English Spelling,Adobe Premiere,40000
ct o co founder extra w ev charging gambling betting,Ukraine,3000,93,Java,Java EE,Python,Scrapy,Ansible,Linux System Administration,1000000
sale copy writer sale page email vs l web content ad ve ##rt or ##ia l,Malaysia,7500,98,Copywriting,Sales Letters,Sales Writing,Video Sales Letter,Display Ads,Email Marketing,50000
machine learn engineer,Poland,9900,100,Deep Learning,Machine Learning,TensorFlow,Keras,Django,Python,70000
u x ui design web app sa as er p cr m dashboard mobile app website,Ukraine,5000,100,Sketch,Adobe Photoshop,User Experience Design,User Interface Design,Mobile UI Design,iPhone UI Design,100000
stack java script developer,Ukraine,3000,100,RESTful API,GSAP,Redux,Material Design,GraphQL,Business Analysis,100000
expert web hybrid mobile app developer,India,2000,100,PHP,WordPress,Android App Development,iOS Development,Zend Framework,OpenCart,400000
graphic web designer u x ui design fig ma,Ukraine,4000,100,Web Design,UI/UX Prototyping,Logo Design,Figma,Adobe Illustrator,Adobe Photoshop,30
stack developer dev op,Russia,4000,100,Drupal,PHP,JavaScript,Python,AWS Server Migration,DevOps,5000000
web automation expert,Philippines,3700,100,Java,PHP,MySQL,AJAX,XHTML,XML,100000
stack ninja scale io t project,United States,6000,100,Embedded Linux,Mobile App Development,Internet of Things,C++,C,Kotlin,1000
flutter android ios software engineer,Ukraine,4000,77,Kotlin,Android App Development,Android SDK,Flutter,Dart,Android NDK,1000
ui u x design stack development web developer,United States,10000,100,WordPress,Wordpress Theme,WordPress Plugin,Responsive Design,UX/UI,Shopify,80000
lara ve ##l developer expert,Belarus,3400,98,Laravel,PHP,CSS3,JavaScript,WordPress,HTML,20000
director,United States,8500,100,PHP,Linux System Administration,PrestaShop,Wordpress Malware Removal,WordPress,Web Application Security,3000
expert copy writer co founder me er ke ##r k llc,Serbia,2500,97,Article Writing,Content Management,Content Writing,Copywriting,eBook Writing,Blog Writing,100000
expert react j ##s next j ##s vu e ##j s node j ##s developer,India,2000,99,PHP,iOS Development,Android,React Native,Swift,Node.js,200000
senior php open source web developer technical consultant,Pakistan,2000,100,Graphic Design,PHP,Website Development,CodeIgniter,Laravel,Magento,80000
software q a engineer,Belarus,1500,94,Web Testing,Test Design,Functional Testing,Selenium WebDriver,Bug Report Documentation,Test Cases,5000
graphic designer,Ukraine,2500,100,Logo,Illustration,Adobe Photoshop,Autodesk Maya,Adobe Illustrator,Label and Package Design,10000
word press php lara ve ##l code ign it ##er eco mm ##er ce aw,India,1800,98,WordPress,Adobe Photoshop,PHP,Laravel,CodeIgniter,Ecommerce Platform Development,300000
motion designer,Ukraine,3000,100,Adobe After Effects,Adobe Illustrator,Adobe Premiere Pro,Adobe Audition,Camtasia,JavaScript,2000
mobile web application development custom solution startup,United States,3500,100,Mobile App Development,Mobile UI Design,Network Planning,Networking,Website Development,PHP,1000
functional q a,Ukraine,1400,100,Web Testing,Manual Testing,Smoke Testing,Regression Testing,Functional Testing,QA Engineering,20000
stack developer,Ukraine,3500,93,Ruby on Rails,Frontend Development,HAML,Sass,HTML5,CSS3,40000
ui u x design web graphic ui u x designer,India,1500,96,UX/UI,Web Design,Responsive Web Design,Mobile App Design,Mobile UI Design,User Interface Design,10000000
ce rt ##i f ##y mage nt ##o 2 developer,Ukraine,4500,99,Magento 2,Magento,Zend Framework,PHP,REST,JavaScript,1000000
pp c expert google ad facebook i g ad linked in ad seo expert,India,1200,99,Google Ads,Pay Per Click,Google Analytics,Facebook Marketing,Internet Marketing,Twitter Marketing,1000000
word press team lea d php developer,Ukraine,2500,90,WordPress,PHP,CSS3,HTML5,jQuery,PSD to Wordpress,100000
stack developer react react native node j s ex t j s mvp,United States,8500,98,React,React Native,Ext JS,JavaScript,Node.js,Express,500000
vu e j s java script expert end developer web development,Ukraine,3000,97,JavaScript,Vue.js,Vuex,Nuxt.js,TypeScript,HTML5,900000
game mobile app developer unity 3d expert,Pakistan,3000,100,Game Development,Game Programming,Game Design,Game Testing,Facebook Games Development,Android,100000
source specialist,Mexico,1500,100,Recruiting,Sourcing,Technical Recruiter,Source Lists,Talent Sourcing,IT Recruiting,60000
senior python developer dj ang ##o angular react types cr ##ip ##t,Ukraine,3000,100,TypeScript,Python,Flask,Django,Microservices,Angular 6,700000
google ad pro campaign setup managing optimization,Poland,3500,98,Google Ads,Google Analytics,Google Tag Manager,PPC Campaign Setup & Management,Audit,Google Data Studio,30000
business manager ro x man,Ukraine,2500,100,Mobile UI Design,User Interface Design,User Experience Design,Web Design,Responsive Web Design,iPhone UI Design,40000
mage nt ##o expert ce rt ##i f ##y mage nt ##o developer,Belarus,3500,97,Magento 2,Magento,PHP,MySQL,LAMP Administration,Ecommerce Platform Development,100000
head seo agency,Ukraine,3500,99,SEO,Search Engine Marketing,Internet Marketing,Google Ads,Google Analytics,Conversion Rate Optimization,30000
cloud migration dev op infrastructure support,United Kingdom,6998,100,Web Hosting,DevOps,Microsoft IIS,SSL,NGINX,Amazon Web Services,100000
stack php word press developer designer seo expert,India,1500,100,WordPress,HTML5,CSS3,jQuery,CodeIgniter,Laravel,8000
architect architectural render interior design 3d,Serbia,2500,100,Autodesk AutoCAD,Autodesk 3ds Max,Adobe Photoshop,SketchUp,Lumion,3D Modeling,20000
senior stack java script developer,Ukraine,3000,100,TypeScript,React,Node.js,Nest.js,Angular,JavaScript,1000000
experience book keeper,Ukraine,1700,100,Bookkeeping,Accounting,Account Reconciliation,Accounts Payable Management,Cost Accounting,Bank Reconciliation,50000
complex e commerce web develop en ##t,Russia,2500,96,eCommerce Website,Wordpress Multisite,WordPress e-Commerce,Web Design,Web Scraper,JavaScript,200000
web developer php lara ve ##l yi i,Ukraine,2500,94,PHP,Laravel,Yii2,Vue.js,Zend Framework,Git,300000
stack net lead developer architect angular developer,United States,5000,75,Microsoft SQL Server Programming,ASP.NET MVC,AngularJS,jQuery,ASP.NET,JavaScript,5000
ui u x designer app website,Ukraine,4500,100,Adobe Photoshop,Adobe Illustrator,Sketch,Web Design,User Interface Design,Mobile UI Design,900000
web developer lara ve ##l yi i,Ukraine,2500,94,PHP,Yii2,Laravel,HTML5,CSS3,JavaScript,300000
u x ui web mobile design interaction design,Ukraine,3500,99,Web Design,Mobile UI Design,User Experience Design,Wireframing,Rapid Prototyping,InVision,7000000
customer service professional social medium moderator,Philippines,750,100,Email Support,Social Media Management,Virtual Assistant,Lead Generation,Talent Sourcing,Customer Service,30000
node j s react angular react native java script team lead,Russia,3500,100,Node.js,React,React Native,Ionic Framework,JavaScript,MongoDB,3000000
virtual assistant project manager air bn b specialist eco mm ##er ce,Philippines,1500,100,Email Support,Project Plan,Calendar Management,Appointment Setting,Training Development,Sales,80000
10 y rs stack io android x ama ri ##n developer,India,1500,100,iOS Development,Swift,iPhone App Development,Objective-C,Android SDK,Android,600000
project manager,Ukraine,5000,100,Project Management Professional,WordPress,PHP,CSS,SQL,Python,200000
work word press excel dat um,Ukraine,1050,100,HTML,CSS,Bootstrap,PHP,WordPress,Excel VBA,10000
ui u x designer,Ukraine,4500,97,Web Design,Responsive Web Design,Prototyping,UX/UI,UX Research,Wireframes,100000
build brand smart graphic web design specialist,United States,9000,100,Adobe Photoshop,HTML,CSS,Joomla,Adobe Illustrator,WordPress,20000
stack developer,Armenia,1900,100,Frontend Development,JavaScript,React,Ember.js,Meteor,Mithril,50000
real estate gem va,Philippines,600,100,Marketing Communications,Digital Marketing Strategy,Email Marketing,Web Design,Customer Service,Appointment Setting,400000
social medium specialist,Philippines,1000,88,Data Entry,Virtual Assistant,Email Handling,Social Media Marketing,Graphic Design,Content Writing,10000
sale manager,Ukraine,3500,100,Communications,Strategic Planning,N/A,N/A,JavaScript,JavaScript,1000000
virtual assistant marketing specialist sale ex ec customer support,Philippines,600,100,Virtual Assistant,Administrative Support,Email Handling,Cold Calling,Property Management,Social Media Post,100000
mage nt ##o p y ##t ho dj ang ##o java eco mm ##er ce ai pre st ##a sho p,United States,3000,94,Python,Android,iOS Development,MongoDB,Magento,Ruby on Rails,800000
lead generation linked in email source database building,India,700,97,Lead Generation,Internet Research,LinkedIn Recruiting,Email Handling,Email Deliverability,CVS,100000
ui designer mobile material design,Ukraine,2000,100,Adobe Photoshop,Figma,Flat Design,PSD to HTML,UX Design,UIKit,100000
ce rt ##i f ##y sales force expert 14 year industry experience,India,3500,96,Salesforce CRM,APEX,Salesforce App Development,Visualforce,Gravity Forms,AppExchange,100000
oracle microsoft nos q l bi db a expert optimization,Pakistan,4000,100,Data Warehousing,Database Administration,SQL Azure,Data Modeling,JavaScript,JavaScript,100000
web developer full st ##a ck developer react j s node j s,Ukraine,2500,100,UX Design,Bootstrap,WordPress,PSD to HTML,CSS3,JavaScript,100
project management sales force,Australia,4500,100,Salesforce CRM,Scrum Master,Budget Planning,Communication,Conflict Resolution,Cost Control,3000
and or ##i d ios web platform expert live broadcast fig ma design,India,1800,87,WordPress,CSS,PHP,Node.js,OpenTok Development,MySQL,30000
sr stack developer,India,1500,100,Web Design,HTML5,PSD to HTML,CSS3,PHP,MySQL,600000
enterprise web app development lead,United States,13500,100,HTML5,CSS3,JavaScript,C#,ASP.NET MVC,Unit Testing,100000
professional web developer,United States,6900,83,WordPress,Joomla,Learning Management System (LMS),SCORM,Web Design,CSS,3000
web mobile developer flutter react android,Ukraine,3500,98,Java,Android,JavaScript,React,JUnit,Android App Development,1000000
architect 3d artist,Egypt,3000,100,Autodesk Revit Architecture,Autodesk AutoCAD,Adobe Photoshop,SketchUp,JavaScript,JavaScript,200000
professional c as p net net core developer,Ukraine,1900,100,.NET Framework,C#,JavaScript,.NET Core,ASP.NET MVC,Microsoft SQL Server Programming,300000
seo expert 10 year experience,United States,12500,100,SEO,SEO Keyword Research,Link Building,Content SEO,Content Strategy,Content Marketing,1000
email marketing specialist click fu n ##ne l expert,Bangladesh,500,78,Marketing Automation,LinkedIn Development,Email Marketing,ActiveCampaign,Mailchimp,SendGrid,10000
u x ui designer graphic logo design expert web mobile app,Ukraine,4000,91,Sketch,sketch app,Adobe Illustrator,Adobe Photoshop,InVision,Marvel App,400000
web expert product architect business development vu e j s node j s,Ukraine,4000,100,JavaScript,Vue.js,Node.js,Website Development,Frontend Development,Responsive Web Design,900000
google ad words shopping expert pp c manager 12 year experience,India,1300,97,Google Ads,Search Engine Marketing,Pay Per Click,Google Analytics,Bing Ads,Conversion Rate Optimization,400000
professional water color artist digital illustration graphic artist,Ukraine,2500,100,Watercolor Painting,Digital Painting,Digital Art,Sketch,Sketches,Sketching,2000
3d cad expert designer engineer,Spain,2500,83,3D Design,CAD,3D Modeling,Industrial Design,CATIA,SolidWorks,800
remarkable real estate cold call team supervisor,Philippines,500,83,Telemarketing,Outbound Sales,Cold Calling,CRM,Appointment Setting,Telephone Handling,10000
robotic software engineer ro s ai cv io t,United States,4500,86,C++,Robot Operating System (ROS),Ubuntu,CMake,OpenCV,Simulations,10000
seo se m sm m sm o experience,India,500,82,SEO,On-Page Optimization,Social Media Advertising,Google AdWords Development,Off-Page SEO,Content Editing,800000
motion designer,Ukraine,4500,100,Adobe After Effects,Mocha Pro,Maxon Cinema 4D,Adobe Photoshop,Adobe Illustrator,Motion Design,40000
pro cs r virtual assistant tel em ##a r ##ke ter,Philippines,600,97,Data Entry,Internet Research,Microsoft PowerPoint,Lead Generation,Google Sheets,Customer Service,10000
acc a uk qb o x er ##o financial analyst,Pakistan,2000,100,Bookkeeping,Accounting,Intuit QuickBooks,Xero,Microsoft Excel,Microsoft Word,3000
guru website design shop if ##y php word press wi x html ui u x,Pakistan,2000,100,Website Development,Bootstrap,PHP,HTML5,CSS,jQuery,100000
build website mobile app scratch successful release,Ukraine,3500,98,Mobile App Development,React,Ionic Framework,Android,iOS Development,HTML5,200000
unity developer,Ukraine,2000,99,C#,Firebase,Photon Unity Networking,ARKit,ARCore,JavaScript,1000000
expert logo design branding,Ukraine,9000,100,Logo Design,Corporate Brand Identity,Cover Design,Adobe Illustrator,Illustration,Business Card Design,10000
project manager q a manager se len i ##um expert,Serbia,4000,100,Software Testing,Selenium,Selenium WebDriver,Automated Testing,QA Management,QA Engineering,1000000
ui u x designer,Ukraine,4000,100,User Interface Design,User Experience Design,Website Prototyping,Sketch,Adobe Photoshop,Zeplin,200000
professional dr up al react native developer,India,2500,100,Drupal,PHP,HTML,CSS,English,Twitter Bootstrap,1000000
n,India,556,100,eBook Design,mobi,Document Conversion,Desktop Publishing,HTML,HTML5,700000
u x designer,Bulgaria,8000,100,Internet Marketing,User Experience Design,WordPress,HTML5,CSS3,JavaScript,10000
u x ui product designer,Serbia,3000,100,Adobe Photoshop,Adobe Illustrator,Logo Design,UX Design,Web Design,Proto.io,5000
mobile web development react native native io android,Ukraine,3500,92,Android,iOS,Native,Hybrid,React Native,React,100000
english portuguese translator editor,Canada,2000,100,Adobe Dreamweaver,Translation Portuguese English,Translation English Portuguese,N/A,JavaScript,JavaScript,3000000
stack developer,Pakistan,2500,100,PHP,Laravel,CodeIgniter,JavaScript,AngularJS,MySQL,2000000
website design development seo expert,India,2000,100,WordPress,Shopify,Machine Learning,Ionic Framework,Django,Firebase,500000
general information,Argentina,2000,100,Python,Scripting,Robotic Process Automation,"Extract, Transform and Load",Data Extraction,JavaScript,20000
shop if ##y word press php lara ve ##l react eco mm ##er ce website ui u x node,United States,2500,100,Website Development,WordPress,Web Design,PHP,Mobile App Development,WooCommerce,100000
alf res co va adi n spring j s react red u ##x angular ps d 2 html,Ukraine,3000,100,CSS,Less,SaaS,PSD to HTML,HTML,Bootstrap,100000
mobile games web developer,India,800,100,PHP,MySQL,iOS Development,Android App Development,SEO,WordPress,100000
photo gr ##a p ##y design,Serbia,688,93,Photography,Adobe Photoshop,Adobe Premiere,Digital Photography,Photo Editing,Logo Design,1000
graphic illustrator child book illustrator cover designer,Ukraine,2000,100,Book,eBook,Adobe Photoshop,Format & Layout,Drawing,Illustration,10000
front end developer angular react vu e,Russia,4000,99,HTML,CSS,JavaScript,Sencha Touch,Ext JS,React,800000
customer care representative,Ukraine,875,99,Helpdesk,Email Handling,Call Handling,Zendesk,Freshdesk,Customer Service,100000
rate q a engineer strong management skill,Ukraine,2500,94,Software QA Testing,QA Management,QA Engineering,API Testing,Manual Testing,Technical Writing,300000
z oh o developer automation api integration php,India,1125,82,WordPress e-Commerce,Zoho CRM,Infusionsoft Development,SugarCRM Development,PHP,MySQL Programming,8000
as p net mv c lara ve ##l vu e j s node j s react j s mage nt ##o python and rio d io,India,2000,100,Microsoft SharePoint Designer,PHP,WordPress,.NET Framework,ASP.NET MVC,Magento,800000
word press shop if ##y ui u x expert native mobile developer,India,1700,96,WordPress,WooCommerce,AngularJS,HTML5,Angular 2,CSS3,500000
3d modeling visual i ##zation,Ukraine,2000,100,3D Modeling,3D Design,3D Rendering,Autodesk 3ds Max,Adobe Photoshop,Autodesk,20000
python dj ang ##o developer angular j ##s node j ##s mon go db backbone j s expert,India,2000,100,Node.js,MongoDB,PHP,Joomla,Drupal,Magento,10000000
rated 17 y rs iphone android c net as p net j que ry mv c web api,India,3125,100,iPhone App Development,Android App Development,PHP,C#,jQuery,ASP.NET,200000
mobile app developer guarantee clearance app store,India,1500,94,Mobile App Development,iOS Development,Android App Development,React Native,Swift,Java,200000
va online ar bit rage amazon f ba cs r email support shop if ##y,Philippines,1000,98,Data Mining,Call Center Management,Data Entry,Amazon FBA,Email Handling,BPO Call Center,800000
ct o system architect product manager stone lab,Belarus,5000,100,Project Management,Architectural Design,Business Analysis,System Analysis,Product Management,Product Development,1000000
web developer,Ukraine,2800,98,PHP,Website Development,JavaScript,Vue.js,Node.js,HTML,2000000
software engineer,Panama,6000,100,Java EE,Ruby on Rails,Node.js,Angular 5,AngularJS,Scrum,8000
sales force developer sales force cr m developer consultant,United States,2500,96,Salesforce CRM,APEX,Salesforce Lightning,Salesforce Service Cloud,Salesforce Wave Analytics,Salesforce App Development,10000000
architect interior design 3d modeling rendering animation,Bangladesh,2250,98,Architectural Design,Interior Design,3D Animation,3D Modeling,3D Rendering,SketchUp,70000
business manager appointment set ter sale agent virtual assistant,Philippines,700,100,Appointment Setting,Virtual Assistant,Telemarketing,Sales,Lead Generation,Google Spreadsheets,500000
visual identity branding logo designer,United Kingdom,4000,100,WooCommerce,Web Design,Website Development,Magento 2,PHP,CSS,100000
strategic prove result drive seo,India,1000,82,Copywriting,SEO,Link Building,Content Writing,On-Page Optimization,SEO Keyword Research,800000
manage recruit business development operation,Nicaragua,1000,100,Sales,Customer Service,Email Support,N/A,JavaScript,JavaScript,10000
software game q a specialist q a lead,Romania,1500,100,Software QA Testing,QA Management,Compatibility Testing,Stress Testing,Alpha Testing,Interface Testing,40000
expert stack web developer java script pre st ##a sho p word press,Ukraine,3000,100,HTML,CSS,PSD to HTML,Adobe Photoshop,Adobe Premiere Pro,JavaScript,200000
graphic design col la ##ge illustration,Ukraine,2000,100,Adobe Photoshop,Adobe Illustrator,Illustration,Graphic Design,Drawing,Photo Editing,3000
senior q a engineer q a analyst team lead,Ukraine,3500,100,Manual Testing,Web Testing,Mobile App Testing,Test Execution,Software Testing,API Testing,300000
software engineer unity ar vr game app,Bangladesh,3497,100,Unity,Augmented Reality,Virtual Reality,Game Development,Mobile App Development,iPhone App Development,10000
graphic designer video editor,Greece,1500,100,Adobe Illustrator,Adobe Premiere Pro,Adobe InDesign,Adobe After Effects,Adobe Photoshop,Adobe Photoshop Lightroom,100000
senior mobile developer io android swift java,Russia,3500,100,iOS Development,Swift,Objective-C,Java,Android,iPhone App Development,100000
let grow business web designer digital market er,United States,6500,100,SEO,Social Media Marketing,Google Analytics,Facebook Advertising,Web Design,Graphic Design,10000
rocks tar ios developer iphone android app swift java,Belarus,4500,100,iOS Development,Android App Development,iPad App Development,Mobile App Development,iPhone UI Design,iPhone App Development,600000
dev ops engineer stack developer,Ukraine,3500,100,DevOps,NGINX,CI/CD,MySQL Programming,MySQL,Amazon ECS,40000
website mobile app designer,Ukraine,3000,97,Web Design,Material Design,Figma,UX/UI,UX,User Flows,30000
rate stack consultant,Ukraine,4500,100,Node.js,Express,LoopBack,Swagger,Angular,Angular Materials,50000
rocks tar t word press php framework mobile development,India,1944,100,WordPress,WordPress Plugin,Mobile App Development,Ecommerce Platform Development,MVC Framework,Yii,100000
professional shop if ##y speed optimization cr o expert,Bulgaria,9900,100,Shopify,Responsive Web Design,Shopify Templates,Conversion Rate Optimization,Landing Page,JavaScript,20000
motion graphic artist video editor,Armenia,3500,93,Adobe After Effects,Adobe Premiere Pro,Adobe Photoshop,Adobe Illustrator,Video Editing,Motion Graphics,30000
web back end developer,Ukraine,2700,100,C#,Microsoft SQL Server Programming,REST,Elasticsearch,ASP.NET MVC,Redis,40000
full st ##a ck developer php python dj ang ##o fl ask react vu e angular,India,2500,97,Vue.js,Laravel,AngularJS,React,React Native,PHP,400000
skilled web mobile developer,India,1667,91,CakePHP,Zend Framework,React,Node.js,Mobile App Development,Ionic Framework,500000
health insurance sale virtual assistant researcher dat um entry,Philippines,1200,100,Customer Support,Sales,Email Handling,Data Entry,Research,Virtual Assistant,2000
virtually,India,500,86,Content Moderation,Customer Service,Data Entry,Email Handling,Internet Research,Microsoft Office,50000
award win creative,United States,4995,100,Advertising,Graphic Design,Web Design,Adobe InDesign,Adobe Photoshop,Adobe Illustrator,5000
